,well,sweep,protocol,Rseal,Cm,Rseries,gleak_before,E_leak_before,gleak_after,E_leak_after,R_leftover,QC.R_leftover,E_rev,E_rev_before,E_rev_after,QC.Erev,QC6,QC1,QC4,total before-drug flux,-120mV decay time constant 1,-120mV decay time constant 2,-120mV decay time constant 3,-120mV peak current,selected,passed QC,QC.Erev.spread,Erev_spread
0,A03,0,staircaseramp,3251069000.0,1.58413e-11,9491014.0,0.7345540279467161,-41.11296239757151,0.9292715112232074,-36.35961095388226,0.044808758916029555,True,,,,False,True,True,True,13417254.586416585,423.5602222246387,71.82421725867114,150.7029586868521,-1075.5094804921903,True,False,False,
1,A03,1,staircaseramp,2147978000.0,1.562104e-11,10209700.0,0.9845611824103958,-51.21174064515182,0.861911246447718,-30.60948333569417,0.038060764451836704,True,,,,False,True,True,True,12183648.28399348,440.96098380365163,73.56344133900627,143.9558801659119,-1152.424836140228,True,False,False,
2,A03,0,staircaseramp_2,1926283000.0,1.544289e-11,14282480.0,1.1250840677620342,-46.81841555131943,0.5471111435993272,4.754107315054811,0.06006057073340253,True,,,,False,True,True,True,10316908.244699527,1190.7332977372648,109.20181801745207,141.95139600266953,-1130.521284568172,True,False,False,
3,A03,1,staircaseramp_2,2370252000.0,1.549668e-11,14658470.0,1.003906784107606,-50.44391131252602,0.63325056494211,-8.35982927025947,0.03902533267577489,True,,,,False,True,True,True,10509043.280135067,550.4486617723055,101.1805258923746,151.65993536186468,-1104.2562689779716,True,False,False,
