Type 	 Voltage 	 Duration
Set	-80.0	250.0
Set	-120.0	50.0
Ramp	-80.0	396.0
Set	-80.0	200.0
Set	40.0	1000.0
Set	-120.0	500.0
Set	-80.0	1000.0
Set	-40.0	500.0
Set	-60.0	500.0
Set	-20.0	500.0
Set	-40.0	500.0
Set	0.0	500.0
Set	-20.0	500.0
Set	20.0	500.0
Set	0.0	500.0
Set	40.0	500.0
Set	20.0	500.0
Set	40.0	500.0
Set	0.0	500.0
Set	20.0	500.0
Set	-20.0	500.0
Set	0.0	500.0
Set	-40.0	500.0
Set	-20.0	500.0
Set	-60.0	500.0
Set	-40.0	500.0
Set	-80.0	1000.0
Set	40.0	500.0
Set	-70.0	10.0
Ramp	-110.0	96.0
Set	-120.0	390.0
Set	-80.0	500.0
