,Unnamed: 0,well,sweep,protocol,Rseal,Cm,Rseries,gleak_before,E_leak_before,gleak_after,E_leak_after,R_leftover,QC.R_leftover,E_rev,E_rev_before,E_rev_after,QC.Erev,QC6,QC1,QC4,total before-drug flux,-120mV decay time constant 1,-120mV decay time constant 2,-120mV decay time constant 3,-120mV peak current,selected,passed QC,QC.Erev.spread,Erev_spread,pre-drug leak magnitude,post-drug leak magnitude
49,49,P04,1,staircaseramp1,11664710000.0,1.592752e-11,9126875.0,0.8385719415866044,-78.66860045345452,0.4563880847602346,-61.30392019032095,0.0905932994498841,True,-93.39723576121789,-93.33535775645714,-90.05984597301332,True,True,True,True,10595564.69622454,787.401596624344,96.77316647836766,157.34074671274124,-1033.5235571223482,True,True,True,2.136962689558601,65.19519260922058,40.981443093764476
51,51,P23,1,staircaseramp1,1107020000.0,2.158701e-11,9932156.0,1.738357794530888,-39.12527671873198,1.5216273626584194,-28.41072601090264,0.0353324956370221,True,-94.63953795534802,-94.30183511943768,-75.62461221955188,True,True,True,True,10210959.771022212,423.5447830723977,128.9991136943532,170.3910303145678,-951.3501288310022,True,True,True,0.9488268528058228,69.55803528357991,64.1267276033316
52,52,A03,0,staircaseramp1_2,1926283000.0,1.544289e-11,14282480.0,1.1250840677620342,-46.81841555131943,0.5471111435993272,4.754107315054811,0.0600605707334025,True,-86.6477434669106,-86.22510795506395,-89.72640336003438,True,True,True,True,10316908.244699528,1191.6366433328076,109.20554617484456,141.95139511565844,-1130.521284568172,True,True,True,4.098624786642645,57.93071078152857,46.23880594003576
54,54,B01,0,staircaseramp1_2,14397590000.0,2.1378e-11,11304990.0,1.0032357804438936,-77.1846781249073,0.3563006871822705,-47.43641806261087,0.0131054583876594,True,-91.42158286299188,-91.21556694549348,-87.76643806065687,True,True,True,True,43681574.323707975,483.0577723093536,188.3802205138379,188.38022252246785,-1687.919393904457,True,True,True,1.546824642663026,70.30173951353584,32.71601261104073
56,56,B03,0,staircaseramp1_2,5687536000.0,1.415184e-11,14345420.0,0.6931793969715176,-64.5442589625406,0.5958401340637046,-40.86870006368415,0.0540110416454947,True,-93.30190728824924,-93.0087977844335,-76.46669153274192,True,True,True,True,8044697.579929725,381.37711158037655,80.54444356114907,112.06791366821793,-762.7517896970717,True,True,True,1.6893850059682762,51.94958503754821,40.977483418415204
58,58,B14,0,staircaseramp1_2,664270500.0,1.271628e-11,15080050.0,2.7420082496322764,-38.76462378014881,2.699827244287317,-32.842735392531395,0.2016850863412477,True,-93.77282916324954,-90.16413620754876,-88.95723121039342,True,True,True,True,4317634.136749787,157.54865943922366,61.3418677822828,124.29640758669812,-528.4850585468284,True,False,True,4.395328892104303,87.25857889751184,85.50643983755927
60,60,D04,0,staircaseramp1_2,356577700.0,1.536431e-11,16851550.0,3.925573873593144,-24.47462079902961,3.6607089169281934,-22.512699325120582,0.2207250710296587,True,-94.96932216357102,-93.3049536541549,-88.44772121799242,True,True,True,True,6623706.304952214,5000.0,168.05445573923342,180.75534987876097,-634.3726478548016,True,False,True,1.3671048980242233,103.53210373630866,100.44467240558708
62,62,D20,0,staircaseramp1_2,387329500.0,1.463184e-11,14977970.0,3.773564810032196,-28.0621600968588,2.899982931673513,-22.28968960928312,0.1616643718283085,True,-94.56824096897968,-92.02110958762384,,True,True,True,True,10128052.543713097,292.20599350547434,109.21647193234732,154.8166332693734,-804.7963415356893,True,False,True,0.725681200908582,101.00888855097544,89.45588114348297
64,64,D22,0,staircaseramp1_2,4083595000.0,1.482837e-11,16083330.0,0.9215630437049902,-58.8743839882697,0.7447058659672833,-50.23524241450703,0.0244251970319606,True,-91.09750576428516,-90.91631082715438,-89.36704281586061,True,True,True,True,23872431.85008884,5000.0,146.26640794477166,172.81706610275688,-1165.662395154804,True,True,True,2.471111223805565,57.06623363388166,48.12106453531575
66,66,E08,0,staircaseramp1_2,1025887000.0,1.747961e-11,9511277.0,2.207527660267384,-47.412742868514414,2.515835121155343,-34.33678018403718,0.0603970229577126,True,-93.47158552781796,-92.61023429428936,-90.08846891700034,True,True,True,True,11752228.642523823,180.86389775154387,71.12527453177547,120.9288156150726,-1039.5274103454008,True,True,True,2.117651269489329,81.42269369022688,82.70472661609651
68,68,E12,0,staircaseramp1_2,457689100.0,2.033464e-11,19802150.0,3.23867113859515,-29.15932204719385,2.8779384364723017,-25.07349655815008,0.1011733722914747,True,-95.45833347609526,-93.00409989842537,-89.04008400804408,True,True,True,True,9786585.63780868,1547.934353819444,143.06823825882896,184.7055271014568,-736.2322478774262,True,False,True,0.2961140008859075,93.5237989539029,88.54537028878127
70,70,F11,0,staircaseramp1_2,235101100.0,1.167452e-11,10905270.0,5.48667680550214,-20.245639529863404,4.88319525379314,-17.627889309263733,0.278453576276462,True,-95.17169803684833,-91.78767964704586,-70.54022369701795,True,True,True,True,6813723.075993204,455.3630308841138,96.77920417085132,128.9538231582131,-762.231568736954,True,True,True,1.2139499315516105,123.83889219693003,118.03428993264232
72,72,G03,0,staircaseramp1_2,160105400.0,2.717598e-11,18945800.0,7.971617863200148,-20.594978415289823,7.363480057306722,-23.003706316760294,0.2914103216770748,True,-92.80299595137863,-86.76273906164187,,True,True,True,True,11786304.596103773,103.24568418736514,1e-12,103.24568389031396,-677.5047131433856,True,False,True,4.686539716775897,149.09223035741957,142.27376672891248
74,74,I22,0,staircaseramp1_2,3013850000.0,4.515711e-11,12074050.0,0.5934261085319961,-42.183587026610624,0.3002989244641285,-8.676990754650049,0.1846758664346354,True,-94.48436063439456,-94.21197400236696,-70.50088489060548,True,True,True,True,7691053.512684296,659.8511709245014,59.83653226563712,99.09673802330076,-733.4214974853138,True,True,True,1.555895992706667,41.113726924833216,30.77895750734
76,76,J04,0,staircaseramp1_2,2374720000.0,1.765301e-11,11077710.0,1.0532622805620042,-52.93099334417587,0.6448038310140726,-62.84429575428129,0.0762019146387442,True,-94.50317390311304,-94.04827047490214,-86.25203080648438,True,True,True,True,7969582.026356654,271.8002526428269,66.39949412508746,124.10872893119634,-823.4791246063495,True,True,True,2.023900619510627,58.28932614579008,49.36143266155999
78,78,J22,0,staircaseramp1_2,2674712000.0,4.278386e-11,15518650.0,0.8090926588623932,-45.27886038481362,1.157237522177983,-38.58091417706917,0.0224944187876457,True,-93.89069505174672,-93.6983881311329,-95.68173919909682,True,True,True,True,31261912.154460818,5000.0,125.34407277974496,141.2907904062646,-1151.4081022817418,True,False,True,1.690094724904938,48.717837199975854,56.654665519113706
80,80,K04,0,staircaseramp1_2,1567877000.0,1.112229e-11,13109620.0,1.241989964871266,-41.37758508284568,1.0579761462623123,-42.271290652944,0.1933284951582357,True,-90.15964694970504,-88.01285854102353,-87.87917108679676,True,True,True,True,3606185.7547158888,120.5797199261876,45.13507438445929,91.29466504205504,-532.2980616274806,True,False,True,2.00758931045253,59.280248088792625,54.91675957757434
82,82,K15,0,staircaseramp1_2,2534787000.0,1.721793e-11,14106200.0,0.7494673015967325,-43.33083216273318,1.354588527484885,-37.505880750148194,0.0543608687425784,True,-92.6392547526547,-92.20163727664718,-74.05809299663713,True,True,True,True,12449269.616948895,171.4489012336564,59.20580035060703,113.24001545748172,-803.6046329475327,True,False,True,2.019269702779823,46.440826462419494,61.104043775158665
