,time,voltage
0,0.0,-80.0
1,0.5,-80.0
2,1.0,-80.0
3,1.5,-80.0
4,2.0,-80.0
5,2.5,-80.0
6,3.0,-80.0
7,3.5,-80.0
8,4.0,-80.0
9,4.5,-80.0
10,5.0,-80.0
11,5.5,-80.0
12,6.0,-80.0
13,6.5,-80.0
14,7.0,-80.0
15,7.5,-80.0
16,8.0,-80.0
17,8.5,-80.0
18,9.000001000000001,-80.0
19,9.500001,-80.0
20,10.0,-80.0
21,10.5,-80.0
22,11.0,-80.0
23,11.5,-80.0
24,12.0,-80.0
25,12.5,-80.0
26,13.0,-80.0
27,13.5,-80.0
28,14.0,-80.0
29,14.5,-80.0
30,15.0,-80.0
31,15.5,-80.0
32,16.0,-80.0
33,16.5,-80.0
34,17.0,-80.0
35,17.5,-80.0
36,18.0,-80.0
37,18.5,-80.0
38,19.0,-80.0
39,19.5,-80.0
40,20.0,-80.0
41,20.5,-80.0
42,21.0,-80.0
43,21.5,-80.0
44,22.0,-80.0
45,22.5,-80.0
46,23.0,-80.0
47,23.5,-80.0
48,24.0,-80.0
49,24.5,-80.0
50,25.0,-80.0
51,25.5,-80.0
52,26.0,-80.0
53,26.5,-80.0
54,27.0,-80.0
55,27.5,-80.0
56,28.0,-80.0
57,28.5,-80.0
58,29.0,-80.0
59,29.5,-80.0
60,30.0,-80.0
61,30.5,-80.0
62,31.0,-80.0
63,31.5,-80.0
64,32.0,-80.0
65,32.5,-80.0
66,33.0,-80.0
67,33.5,-80.0
68,34.0,-80.0
69,34.5,-80.0
70,35.0,-80.0
71,35.5,-80.0
72,36.0,-80.0
73,36.5,-80.0
74,37.0,-80.0
75,37.5,-80.0
76,38.0,-80.0
77,38.5,-80.0
78,39.0,-80.0
79,39.5,-80.0
80,40.0,-80.0
81,40.5,-80.0
82,41.0,-80.0
83,41.5,-80.0
84,42.0,-80.0
85,42.5,-80.0
86,43.0,-80.0
87,43.5,-80.0
88,44.0,-80.0
89,44.5,-80.0
90,45.0,-80.0
91,45.5,-80.0
92,46.0,-80.0
93,46.5,-80.0
94,47.0,-80.0
95,47.5,-80.0
96,48.0,-80.0
97,48.5,-80.0
98,49.0,-80.0
99,49.5,-80.0
100,50.0,-80.0
101,50.5,-80.0
102,51.0,-80.0
103,51.5,-80.0
104,52.0,-80.0
105,52.5,-80.0
106,53.0,-80.0
107,53.5,-80.0
108,54.0,-80.0
109,54.5,-80.0
110,55.0,-80.0
111,55.5,-80.0
112,56.0,-80.0
113,56.5,-80.0
114,57.0,-80.0
115,57.5,-80.0
116,58.0,-80.0
117,58.5,-80.0
118,59.0,-80.0
119,59.5,-80.0
120,60.0,-80.0
121,60.5,-80.0
122,61.0,-80.0
123,61.5,-80.0
124,62.0,-80.0
125,62.5,-80.0
126,63.0,-80.0
127,63.5,-80.0
128,64.0,-80.0
129,64.5,-80.0
130,65.00001,-80.0
131,65.50001,-80.0
132,66.0,-80.0
133,66.5,-80.0
134,67.0,-80.0
135,67.5,-80.0
136,68.0,-80.0
137,68.5,-80.0
138,69.00001,-80.0
139,69.50001,-80.0
140,70.0,-80.0
141,70.5,-80.0
142,71.0,-80.0
