,well,sweep,protocol,Rseal,Cm,Rseries,gleak_before,E_leak_before,gleak_after,E_leak_after,R_leftover,QC.R_leftover,E_rev,E_rev_before,E_rev_after,QC.Erev,QC6,QC1,QC4,total before-drug flux,-120mV decay time constant 1,-120mV decay time constant 2,-120mV decay time constant 3,-120mV peak current,selected,passed QC,QC.Erev.spread,Erev_spread
0,A03,0,staircaseramp,3251069000.0,1.58413e-11,9491014.0,0.7345540279467161,-41.11296239757151,0.9292715112232074,-36.35961095388226,0.044808758916029555,True,-90.74636825355324,-89.57184330525791,-90.46261999707305,True,True,True,True,13417254.586416585,423.55885203652065,71.82414041774116,150.70295323575797,-1075.5094804921903,True,True,True,4.098624786642645
1,A03,1,staircaseramp,2147978000.0,1.562104e-11,10209700.0,0.9845611824103958,-51.21174064515182,0.861911246447718,-30.60948333569417,0.038060764451836704,True,-89.76593328516874,-88.78531328677197,-89.32779687598776,True,True,True,True,12183648.28399348,440.9616039464997,73.5634737690446,143.9558795562062,-1152.424836140228,True,True,True,4.098624786642645
2,B01,0,staircaseramp,5792134000.0,2.141635e-11,9156678.0,0.4121406698536839,-52.666589006099976,0.3555987292976133,-47.073782034113194,0.015544359877041168,True,-92.9684075056549,-92.82556490304472,-88.44631859934745,True,True,True,True,42667470.68101251,5000.0,135.45628829994453,168.84818143148198,-1808.0017967164638,True,True,True,1.5468246426630259
3,B01,1,staircaseramp,314947300000.0,2.127527e-11,9523752.0,1.0755421668329224,-77.57223425293563,0.33121128687878504,-46.915925806341974,0.01572046761134424,True,-91.94148737743609,-91.74338827053947,-87.9802843030974,True,True,True,True,40790321.446019955,5000.0,143.18584375822323,172.74898535061254,-1901.1229795698412,True,True,True,1.5468246426630259
4,B03,0,staircaseramp,4564453000.0,1.444363e-11,16859410.0,0.36235904205314345,-40.259178021604434,0.3972269901283048,-43.52307125223516,0.04279113568984624,True,-94.99129229421753,-94.60215222107718,-74.01825307902278,True,True,True,True,9409021.930318728,346.18119431442466,81.60990540348358,124.85267909637237,-642.852534439676,True,True,True,1.6893850059682762
5,B03,1,staircaseramp,7178286000.0,1.440328e-11,17026380.0,0.5417005947715315,-59.588553780930894,0.42056087270543707,-44.54497717101522,0.04381242689111652,True,-94.65894645651869,-94.2459414812486,-74.62287525128357,True,True,True,True,8623641.991237093,587.1945306105919,88.19455392088875,125.97364200331339,-678.4837779672127,True,True,True,1.6893850059682762
6,B14,0,staircaseramp,397472500.0,1.317114e-11,13363160.0,3.7217346703980083,-28.922754807386454,2.5738432616781304,-36.29077742551236,0.21311019819761293,True,-98.16815805535384,-93.22461625549697,-85.96973428909115,True,True,True,True,6155591.230641309,119.67662082015421,53.557953621209016,81.1284981730466,-511.5468060384601,True,False,True,4.3953288921043026
7,B14,1,staircaseramp,435010000.0,1.289735e-11,13640630.0,3.415263821531387,-28.13018617330034,2.5757336860173563,-34.625228253726114,0.19602415094764752,True,-97.68929936590858,-93.00712067463662,-82.52714885859011,True,True,True,True,6110387.158736208,140.39971309903277,47.10666263546765,87.03366993536962,-530.0446281897842,True,False,True,4.3953288921043026
8,D04,0,staircaseramp,318530800.0,1.544806e-11,12342810.0,4.058649086618782,-18.63783808060639,3.830978683754432,-20.92253873784857,0.24272759744496045,True,-96.0277998602575,-94.840219391027,-84.38672935331773,True,True,True,True,8164696.047542539,1516.7778520958109,132.1549731316572,170.82023596642804,-719.0759294056961,True,False,True,1.3671048980242233
9,D04,1,staircaseramp,322444100.0,1.520287e-11,12164160.0,4.591881331124325,-24.980332476782223,3.817283353349411,-20.983051702863612,0.23959035946819618,True,-96.33642706159524,-95.00539369846415,-81.69853856789018,True,True,True,True,7035466.485404959,329.4705318054736,112.34153830055797,154.50498097473084,-743.3280533349936,True,False,True,1.3671048980242233
10,D20,0,staircaseramp,274045900.0,1.60151e-11,15792530.0,4.911431603043381,-22.780999923619493,3.4698906505352074,-28.699466905886865,0.12522800747183388,True,-94.43282016093191,-91.21500875776263,-95.83905907885843,True,True,True,True,13484146.866468586,284.37530832994156,74.5734517563272,149.34670093987882,-834.7379976031661,True,False,True,0.725681200908582
11,D20,1,staircaseramp,275544400.0,1.58859e-11,15711920.0,5.016998989837008,-25.12065120245928,3.3039143918277802,-25.138913875179522,0.14109540709847063,True,-93.84255976807108,-90.82881585149991,-94.39059708276059,True,True,True,True,12246608.51340884,345.4006605776648,79.2070214110503,153.94001167141616,-877.2497734036476,True,False,True,0.725681200908582
12,D22,0,staircaseramp,1614080000.0,1.537003e-11,14930280.0,1.2426705012826054,-47.39140563367231,0.8197421998159931,-53.12033527690043,0.026413456837850964,True,-93.56861698809074,-93.1046101343077,-96.62163703935522,True,True,True,True,23658309.287144545,5000.0,110.4481209415675,152.2130398716035,-1082.2278949351273,True,True,True,2.471111223805565
13,D22,1,staircaseramp,3518964000.0,1.500797e-11,15656460.0,0.8261931714465629,-55.70314779830081,0.9030663556866526,-56.904694292562276,0.03717099745528352,True,-92.09810375141856,-91.91054171798272,-94.73744102830831,True,True,True,True,24405314.546459753,5000.0,136.4094044013373,165.3786584117281,-1164.3492157485791,True,True,True,2.471111223805565
14,E08,0,staircaseramp,963878400.0,1.80515e-11,8314192.0,1.5337603412731617,-26.64020299451753,1.5835698898367827,-27.2937410745205,0.06737088574377875,True,-95.5892367973073,-93.96884224749238,-85.31675999313457,True,True,True,True,12039887.145352941,309.42241880790027,70.77381643640297,126.72724546853192,-938.7199938401078,True,True,True,2.117651269489329
15,E08,1,staircaseramp,1041148000.0,1.788503e-11,8543815.0,2.1107748630580536,-46.938483508401156,1.8996126273107277,-34.414682577821594,0.047365096251286584,True,-94.47008593134852,-92.99588471595197,-86.90625698284614,True,True,True,True,10869548.30159155,306.52024234732323,69.53196596685233,135.61188068975855,-1019.6380259411958,True,True,True,2.117651269489329
16,E12,0,staircaseramp,428718400.0,2.103444e-11,15924340.0,3.0981583279602596,-20.219670889694797,2.9698584676974678,-29.753698034760788,0.10317031385093134,True,-95.75444747698117,-93.38230858359448,-91.39322873165099,True,True,True,True,11390984.944836576,410.56220423284134,83.07677063223097,128.00660960240262,-747.9614580267153,True,False,True,0.29611400088590756
17,E12,1,staircaseramp,415634800.0,2.103473e-11,15963690.0,3.3304862996378413,-24.853358197772707,2.809670706793551,-26.590269696420922,0.11414230679754479,True,-95.70878371747396,-93.18690930288588,-89.35838803490594,True,True,True,True,10543709.403058812,506.2105339794556,84.36916932787868,133.75071163213735,-799.6225163623174,True,False,True,0.29611400088590756
