,well,sweep,protocol,Rseal,Cm,Rseries,gleak_before,E_leak_before,gleak_after,E_leak_after,R_leftover,QC.R_leftover,E_rev,E_rev_before,E_rev_after,QC.Erev,QC6,QC1,QC4,total before-drug flux,-120mV decay time constant 1,-120mV decay time constant 2,-120mV decay time constant 3,-120mV peak current,selected,passed QC,QC.Erev.spread,Erev_spread
18,F11,0,staircaseramp,241177200.0,1.295988e-11,12767080.0,5.379152242976467,-19.335365423745966,5.023436023225454,-22.636073190915628,0.27111495772308986,True,-96.38564796839994,-92.17465888567405,-76.72865181183208,True,True,True,True,7894610.343298795,393.85085357759135,84.28875226793332,105.38270963891249,-642.9696922070128,True,True,True,1.2139499315516105
19,F11,1,staircaseramp,233879000.0,1.285942e-11,12391250.0,5.646966058563479,-20.175988547469398,5.126389906092156,-23.033209666804826,0.23470422339578859,True,-95.2549911092833,-91.35572226880042,-95.75297036872303,True,True,True,True,8168555.247917427,582.5908996398043,83.98333644018962,114.51639770811946,-693.8221333150586,True,True,True,1.2139499315516105
20,G03,0,staircaseramp,169714300.0,2.691166e-11,17773400.0,7.584737380471128,-18.475946658452028,7.9932326282747175,-26.321161735816553,0.2913947770716,True,-97.17833507517183,-89.07137698155685,,True,True,True,True,12659822.685505316,992.2643934513129,60.570829229028405,164.95996634981634,-634.4419512603979,True,False,True,4.686539716775897
21,G03,1,staircaseramp,166572700.0,2.684077e-11,18291790.0,7.93277598214927,-20.392423240691198,7.933391749736238,-25.011773180167328,0.30261797588198497,True,-96.30283576726535,-88.35740562023535,,True,True,True,True,11626157.582467454,767.7110640390138,66.82675961247104,126.07711234312254,-676.236278580242,True,False,True,4.686539716775897
22,I22,0,staircaseramp,6330598000.0,4.627115e-11,10280310.0,0.6123841686670936,-71.65506064841458,0.40901731916027234,-36.53512515623096,0.19630916956461622,True,-96.04025662710121,-95.60013507802178,-89.56646807281847,True,True,True,True,6760823.213469446,220.42454766386453,39.4866356304746,93.90862318787862,-677.6814219776527,True,True,True,1.5558959927066667
23,I22,1,staircaseramp,5611533000.0,4.617039e-11,10291880.0,0.33735818139227514,-34.85056779091396,0.6528812844616092,-42.41217884910218,0.18500576951032138,True,-95.64618102769174,-95.33848237822623,-88.9235102954531,True,True,True,True,8720619.501934744,398.2430173940346,48.61854190346712,100.74008044898069,-734.732494324214,True,True,True,1.5558959927066667
24,J04,0,staircaseramp,3129911000.0,1.772512e-11,9893627.0,0.6558530564681401,-44.241862567875565,0.6107038527254819,-65.19793899614355,0.08213368313517623,True,-96.02981814238058,-95.42722896709463,-89.1106136688526,True,True,True,True,8699745.71242547,294.5270326799047,53.25260557459505,126.68110894456083,-715.6227131615055,True,True,True,2.023900619510627
25,J04,1,staircaseramp,4063836000.0,1.777413e-11,9943500.0,0.7940475442828974,-58.81570042829826,0.5747874479606527,-58.97572348863167,0.06118458998266096,True,-94.79038811471781,-94.16341335766221,-74.63924003874429,True,True,True,True,7687427.689677075,329.90197102509944,57.87571727484261,127.52219892256835,-781.883626932968,True,True,True,2.023900619510627
26,J22,0,staircaseramp,685599500.0,4.579044e-11,16927300.0,2.206522456914058,-31.595452177250785,0.7254855461423231,-28.359897491765466,0.01667685581043377,True,-94.91364296605595,-94.52704126853008,-74.92263942324995,True,True,True,True,22350984.209704667,5000.0,130.89404348042413,156.12629559524072,-985.882425108834,True,False,True,1.690094724904938
27,J22,1,staircaseramp,803180800.0,4.491185e-11,17027580.0,2.1182932585403917,-35.356493488901364,0.7551883929209274,-31.597143918344756,0.015708282692175703,True,-95.30727525152163,-94.88593705316967,-75.9397270332692,True,True,True,True,22589238.285499,5000.0,145.59831314555166,152.9477557509694,-1011.4029775636378,True,False,True,1.690094724904938
28,K04,0,staircaseramp,784670900.0,1.167841e-11,10576770.0,1.7862575488815453,-24.432371498158346,1.1148590256224122,-41.335421396217114,0.18282774035270052,True,-91.96329680985917,-89.1962430518334,-90.70333383378903,True,True,True,True,4215241.304101713,348.8541658961705,63.80949783279003,120.37021538275921,-439.3159805888535,True,False,True,2.0075893104525306
29,K04,1,staircaseramp,800120100.0,1.168071e-11,10750390.0,1.7717143981187957,-23.699490711521012,1.115729612500073,-41.23581719167209,0.18611159258699142,True,-91.61537460778597,-89.05837818183024,-91.6066823930218,True,True,True,True,4459085.208543377,370.6037373300104,60.65028108173428,113.35002212707958,-493.55404295996607,True,False,True,2.0075893104525306
30,K15,0,staircaseramp,2066922000.0,1.753523e-11,17438570.0,0.896433988955962,-42.371480488127034,0.7988848526171127,-37.05238832347128,0.07195777414609238,True,-94.65852445543452,-93.38419690548815,-73.1190573073504,True,True,True,True,8909591.351397745,5000.0,101.8559664156294,105.73851113933395,-601.4969769980858,True,False,True,2.019269702779823
31,K15,1,staircaseramp,2227744000.0,1.782271e-11,17100680.0,1.1072980849911547,-52.93115446027925,0.7309554799098944,-36.101531315729375,0.059669521693884196,True,-93.69308115615378,-92.86401334535273,-71.06448693643114,True,True,True,True,8357724.252955614,5000.0,101.6082675572024,116.52626582987432,-642.6994306558689,True,False,True,2.019269702779823
32,K21,0,staircaseramp,234379400.0,2.026092e-11,17282060.0,5.463630900090041,-19.117979674985076,4.398510322251204,-20.276242398505328,0.12281692491400006,True,-94.3641011981467,-90.07176227894922,,True,True,True,True,33937968.56661822,357.37996106728104,247.4363726545965,247.43638599788562,-908.2558898736389,True,False,True,3.8061224662102546
33,K21,1,staircaseramp,239253500.0,1.995085e-11,16911910.0,5.911933835846668,-25.074749041531458,4.43514574904465,-18.84353027719609,0.11468688880052152,True,-92.62503037440494,-88.64037536361148,,True,True,True,True,33426243.318726085,2244.4437430772236,273.8115920481613,273.81160134758056,-990.7605658355664,True,False,True,3.8061224662102546
34,L14,0,staircaseramp,885927600.0,1.315217e-11,12315860.0,1.610216973465593,-28.97850306318227,1.6129767145451086,-27.462830432788138,0.11896056683118715,True,-95.16440501282509,-91.92280280465204,,True,True,True,True,7081205.837283613,423.45785531541196,66.96758347433315,119.63135051617161,-640.9048260815429,True,True,True,2.0859529326942408
35,L14,1,staircaseramp,842386600.0,1.311164e-11,12457360.0,1.7601366492042745,-31.52027812158818,1.6300344672177849,-26.66773128897595,0.1115059112670751,True,-94.45626769408224,-91.38802332828746,,True,True,True,True,6906225.191793109,500.2419836672488,68.71089007286511,124.39714316643524,-691.7367290682148,True,True,True,2.0859529326942408
36,L19,0,staircaseramp,4683231000.0,1.027849e-11,8696348.0,0.5827732897928429,-51.98306473547697,0.5056432293364369,-50.7992306537501,0.09083718908925412,True,-95.64916567913521,-93.62345860954566,-72.03984031356696,True,True,True,True,4009289.3206471275,306.3991493927367,54.140644035775864,105.91934800209302,-476.38113274066956,True,True,True,1.839870841340698
37,L19,1,staircaseramp,5205740000.0,1.022436e-11,8626349.0,0.5658174579393778,-54.381064661939604,0.4675033886897905,-46.99928204577467,0.0867426349845597,True,-94.15669909442614,-92.66185609961829,-89.17639430943956,True,True,True,True,3877221.4976819726,228.28436430751955,48.90713726527575,101.68749272894811,-506.627999230712,True,True,True,1.839870841340698
38,M22,0,staircaseramp,329055500.0,1.682787e-11,11126720.0,3.9513323939042584,-20.080423479501732,3.32139377921394,-29.765743150284596,0.08739398425615277,True,-93.73131270454104,-91.28430214039095,-89.26203992268074,True,True,True,True,13987998.040474629,312.5588034055435,63.90673979932662,113.48915081666655,-960.6523149647775,True,False,True,2.019447771251336
39,M22,1,staircaseramp,333763200.0,1.678131e-11,11277810.0,4.108416684369033,-23.029920690894354,3.334123608206593,-28.984120614482038,0.08144022584270108,True,-92.80292788214577,-90.66017329321565,-93.2514726138641,True,True,True,True,13528925.431770835,395.66132963854506,66.09334929385012,122.06253626614654,-1013.1847936478797,True,False,True,2.019447771251336
40,M23,0,staircaseramp,1202663000.0,3.288212e-11,11828720.0,1.500972388797901,-40.09324187073828,1.0696336874742178,-43.28546388167092,0.030544612863941237,True,-95.71438494281948,-95.2008135166492,-78.34002975817432,True,True,True,True,15018148.377891928,1337.3472936703856,119.43981278385272,179.09045815158697,-981.3525311866051,True,True,True,3.369986577158869
41,M23,1,staircaseramp,3620084000.0,3.28206e-11,12325420.0,1.4403254209735563,-61.372968782158054,1.3404904841899594,-44.32544306071035,0.04782382373623575,True,-93.56285319325731,-93.51160654229598,-96.1122984586736,True,True,True,True,14201011.987368438,1274.38001523497,128.57002193135,174.4964827312288,-1017.1724287074123,True,True,True,3.369986577158869
42,N05,0,staircaseramp,3858466000.0,2.062394e-11,11208310.0,0.9229695266407622,-68.19235500267223,0.5595902853286652,-58.73589823416451,0.02264265115735649,True,-93.91540044219465,-93.38118035427499,-71.57158092663916,True,True,True,True,19763682.483620673,393.0674361402565,81.61052175433089,143.09819959708895,-1069.181581965903,True,True,True,2.1527559144682726
43,N05,1,staircaseramp,5525391000.0,2.049877e-11,11192810.0,1.2865918947608357,-71.56134087537829,0.655637815986635,-62.35818359560201,0.03382102591962621,True,-93.15699771604247,-92.71446021687026,-100.21476739858409,True,True,True,True,18927806.96273546,565.3672976192921,91.30292944370773,147.12454481718132,-1139.1424471758523,True,True,True,2.1527559144682726
44,N22,0,staircaseramp,190300500.0,1.650494e-11,18889720.0,6.368368558151635,-15.15751394005395,4.639545060657372,-27.320756718369484,0.2176690659063809,True,-93.96828436338338,-70.7945497909328,-117.82530464132425,True,True,True,True,11309271.950559705,5000.0,52.703551925372864,58.35913579721701,-605.3172609514492,True,False,True,1.5088625359572632
45,N22,1,staircaseramp,186428300.0,1.605979e-11,18629500.0,6.255236754506992,-13.241513189004548,4.399443145323025,-26.523709667477874,0.21205474053348922,True,-93.26096156577168,-82.7065561846337,-118.93517587158948,True,True,True,True,11565260.8396681,5000.0,54.24303481717145,60.64799020427812,-634.0279761911597,True,False,True,1.5088625359572632
46,P02,0,staircaseramp,1277029000.0,9.633841e-12,6343004.0,1.3311363009502422,-40.06787862845798,1.4642372331656155,-34.346245054431854,0.08594841433620326,True,-94.55569576522518,-93.16133191327933,-80.74639095820649,True,True,True,True,4259264.16949829,843.036222964527,60.267851632869075,131.70480677621376,-561.935862926877,True,False,True,3.0244735117433947
47,P02,1,staircaseramp,1548604000.0,9.629062e-12,6518040.0,1.1729726669942144,-31.162243618108818,1.5279484656654168,-36.35060933947638,0.10083757078801424,True,-93.61261076570982,-92.80344612926709,-95.91659556712703,True,True,True,True,5413320.472509508,635.1632004881087,57.5741139322424,149.20535286274406,-626.9196447960188,True,False,True,3.0244735117433947
48,P04,0,staircaseramp,13260940000.0,1.564638e-11,8616617.0,0.3762274278851229,-63.52072076919163,0.33177847262257987,-55.774098803178035,0.07032794161900052,True,-94.33967300115287,-94.14719372261821,-87.34730154741592,True,True,True,True,11671353.738930471,1107.2127887994216,97.6874035833677,159.10819007490616,-977.9877659095334,True,True,True,2.136962689558601
49,P04,1,staircaseramp,11664710000.0,1.592752e-11,9126875.0,0.8385719415866044,-78.66860045345452,0.4563880847602346,-61.303920190320945,0.0905932994498841,True,-93.39723576121787,-93.33535775645714,-90.05984597301332,True,True,True,True,10595564.69622454,787.401596624344,96.77316647836766,157.34074671274124,-1033.5235571223482,True,True,True,2.136962689558601
50,P23,0,staircaseramp,1290767000.0,2.169346e-11,8812139.0,1.412004176282564,-38.45986876856942,1.3283508499454615,-16.82619816884597,0.07834747480940008,True,-94.77892947025192,-94.57731228334274,-75.1698912217771,True,True,True,True,9578235.68356808,723.7697490955153,129.8478382858986,171.11685456736652,-944.2971156054855,True,True,True,0.9488268528058228
51,P23,1,staircaseramp,1107020000.0,2.158701e-11,9932156.0,1.7383577945308881,-39.12527671873198,1.5216273626584194,-28.410726010902636,0.03533249563702219,True,-94.63953795534802,-94.30183511943767,-75.62461221955188,True,True,True,True,10210959.771022212,423.54478307239765,128.9991136943532,170.39103031456781,-951.3501288310022,True,True,True,0.9488268528058228
52,A03,0,staircaseramp_2,1926283000.0,1.544289e-11,14282480.0,1.1250840677620342,-46.81841555131943,0.5471111435993272,4.754107315054811,0.06006057073340253,True,-86.6477434669106,-86.22510795506395,-89.72640336003438,True,True,True,True,10316908.244699527,1191.6366433328076,109.20554617484457,141.95139511565844,-1130.521284568172,True,True,True,4.098624786642645
53,A03,1,staircaseramp_2,2370252000.0,1.549668e-11,14658470.0,1.003906784107606,-50.44391131252602,0.63325056494211,-8.35982927025947,0.03902533267577489,True,-86.98800582291979,-86.60847454282448,-86.78936448947643,True,True,True,True,10509043.280135067,550.4521873798012,101.18062180974883,151.6599318592011,-1104.2562689779716,True,True,True,4.098624786642645
54,B01,0,staircaseramp_2,14397590000.0,2.1378e-11,11304990.0,1.0032357804438936,-77.1846781249073,0.35630068718227054,-47.43641806261087,0.013105458387659441,True,-91.42158286299187,-91.21556694549349,-87.76643806065687,True,True,True,True,43681574.323707975,483.05777230935354,188.3802205138379,188.38022252246785,-1687.9193939044567,True,True,True,1.5468246426630259
55,B01,1,staircaseramp_2,14397590000.0,2.120728e-11,11842150.0,1.2809870012657818,-81.73936228234811,0.34292449378786205,-33.96321005690203,0.013043084272996582,True,-91.62568958052601,-91.31889984021237,-85.79938230553125,True,True,True,True,41205494.657145955,197.4985788017294,113.37761019107086,197.498577493676,-1631.5596491342408,True,True,True,1.5468246426630259
56,B03,0,staircaseramp_2,5687536000.0,1.415184e-11,14345420.0,0.6931793969715176,-64.5442589625406,0.5958401340637046,-40.868700063684145,0.05401104164549471,True,-93.30190728824925,-93.0087977844335,-76.46669153274192,True,True,True,True,8044697.579929725,381.37711158037655,80.54444356114907,112.06791366821793,-762.7517896970717,True,True,True,1.6893850059682762
57,B03,1,staircaseramp_2,5049255000.0,1.409942e-11,14353470.0,0.6570327921975595,-58.07469782550491,0.5489090911525399,-38.943002604052836,0.051858650881077,True,-93.79434720795605,-93.4092929470196,-75.89620255904163,True,True,True,True,8251402.242244945,363.34057917915413,79.18552575335319,116.33081934181645,-754.7281782078877,True,True,True,1.6893850059682762
58,B14,0,staircaseramp_2,664270500.0,1.271628e-11,15080050.0,2.7420082496322764,-38.76462378014881,2.699827244287317,-32.842735392531395,0.20168508634124774,True,-93.77282916324954,-90.16413620754876,-88.95723121039342,True,True,True,True,4317634.136749787,157.54865943922366,61.341867782282804,124.29640758669811,-528.4850585468284,True,False,True,4.3953288921043026
59,B14,1,staircaseramp_2,683182800.0,1.263991e-11,15708320.0,2.722803535546036,-39.66830606086684,2.6622638478579805,-32.01620422808652,0.2051578848696871,True,-94.19063174279358,-90.5235199773094,-90.62427291025989,True,True,True,True,3958486.397635805,132.88719077388626,28.019937720603977,127.6999812489962,-520.324695308181,True,False,True,4.3953288921043026
60,D04,0,staircaseramp_2,356577700.0,1.536431e-11,16851550.0,3.9255738735931436,-24.474620799029612,3.6607089169281934,-22.512699325120582,0.22072507102965877,True,-94.96932216357102,-93.3049536541549,-88.44772121799242,True,True,True,True,6623706.304952214,5000.0,168.05445573923342,180.75534987876097,-634.3726478548016,True,False,True,1.3671048980242233
61,D04,1,staircaseramp_2,366590800.0,1.531953e-11,16683890.0,4.063452649782552,-25.863018689302052,3.901847935265364,-24.126507054393446,0.20049137716830423,True,-95.20732523650466,-93.64789018230235,-86.43336184858748,True,True,True,True,6503156.885448842,5000.0,162.1407373636706,193.7702257352864,-647.2377109541795,True,False,True,1.3671048980242233
62,D20,0,staircaseramp_2,387329500.0,1.463184e-11,14977970.0,3.7735648100321955,-28.062160096858797,2.899982931673513,-22.28968960928312,0.16166437182830856,True,-94.56824096897967,-92.02110958762384,,True,True,True,True,10128052.543713097,292.20599350547434,109.21647193234733,154.8166332693734,-804.7963415356893,True,False,True,0.725681200908582
63,D20,1,staircaseramp_2,400250700.0,1.454979e-11,15618340.0,3.955455475095184,-32.488963475115035,3.008079788765402,-24.716389491836384,0.15295062516060212,True,-94.5526916491214,-91.98639542658539,,True,True,True,True,9363332.952884272,581.358498409535,125.59441853898046,155.07535609928067,-789.81605722274,True,False,True,0.725681200908582
64,D22,0,staircaseramp_2,4083595000.0,1.482837e-11,16083330.0,0.9215630437049902,-58.8743839882697,0.7447058659672833,-50.23524241450703,0.024425197031960652,True,-91.09750576428517,-90.91631082715438,-89.36704281586061,True,True,True,True,23872431.85008884,5000.0,146.26640794477166,172.81706610275688,-1165.662395154804,True,True,True,2.471111223805565
65,D22,1,staircaseramp_2,4359132000.0,1.499963e-11,15998360.0,1.25606166324011,-68.30044506610724,0.8548951346570979,-51.715922918899956,0.03294275517137095,True,-91.3401796951877,-91.01148471682922,-79.02437774247592,True,True,True,True,22416589.949472915,5000.0,151.37987183019632,172.22617597759694,-1141.2490425630624,True,True,True,2.471111223805565
66,E08,0,staircaseramp_2,1025887000.0,1.747961e-11,9511277.0,2.2075276602673837,-47.412742868514414,2.515835121155343,-34.33678018403718,0.06039702295771262,True,-93.47158552781796,-92.61023429428937,-90.08846891700034,True,True,True,True,11752228.642523825,180.86389775154387,71.12527453177547,120.92881561507261,-1039.5274103454008,True,True,True,2.117651269489329
67,E08,1,staircaseramp_2,992350600.0,1.756149e-11,9591612.0,2.644098637849905,-51.68965297139111,2.7818961877490813,-38.97696636741326,0.11141745455316758,True,-94.54935208141055,-93.09407782075085,,True,True,True,True,11428458.34975444,142.2134589459407,44.230728654455675,121.80252104676295,-994.1495519142936,True,True,True,2.117651269489329
68,E12,0,staircaseramp_2,457689100.0,2.033464e-11,19802150.0,3.23867113859515,-29.15932204719385,2.8779384364723017,-25.07349655815008,0.10117337229147479,True,-95.45833347609526,-93.00409989842537,-89.04008400804408,True,True,True,True,9786585.637808679,1547.9343538194441,143.06823825882896,184.7055271014568,-736.2322478774262,True,False,True,0.29611400088590756
69,E12,1,staircaseramp_2,473783000.0,2.046767e-11,20214760.0,3.4989721916847936,-34.64479861146651,2.9015730027954327,-26.200866189159306,0.10593813395353913,True,-95.54281301398804,-93.20979173149709,-91.18095134476447,True,True,True,True,8535085.071458234,5000.0,144.62681052054754,176.6200306357384,-705.355082862043,True,False,True,0.29611400088590756
70,F11,0,staircaseramp_2,235101100.0,1.167452e-11,10905270.0,5.48667680550214,-20.245639529863404,4.88319525379314,-17.627889309263733,0.27845357627646206,True,-95.17169803684833,-91.78767964704586,-70.54022369701795,True,True,True,True,6813723.075993204,455.3630308841138,96.77920417085132,128.9538231582131,-762.231568736954,True,True,True,1.2139499315516105
71,F11,1,staircaseramp_2,242968000.0,1.159394e-11,11248740.0,5.473227147416727,-21.365475632403005,5.128114523991415,-22.381746618894795,0.2188662925706754,True,-95.69085950809757,-92.0608151882633,,True,True,True,True,7656333.830503788,227.85439377051352,84.37686549038827,133.5006329146035,-743.4151997698837,True,True,True,1.2139499315516105
72,G03,0,staircaseramp_2,160105400.0,2.717598e-11,18945800.0,7.971617863200148,-20.594978415289823,7.363480057306722,-23.003706316760294,0.2914103216770748,True,-92.80299595137863,-86.76273906164187,,True,True,True,True,11786304.596103773,103.24568418736514,1e-12,103.24568389031397,-677.5047131433856,True,False,True,4.686539716775897
73,G03,1,staircaseramp_2,168782000.0,2.692698e-11,18695750.0,8.3465298236332,-24.809944515631756,7.300691984781184,-23.21999342055972,0.32809151696013567,True,-92.49179535839593,-86.34141415105512,,True,True,True,True,9875978.74271712,96.59640070806954,1e-12,96.59640288327792,-685.1918976484072,True,False,True,4.686539716775897
74,I22,0,staircaseramp_2,3013850000.0,4.515711e-11,12074050.0,0.5934261085319961,-42.183587026610624,0.30029892446412854,-8.676990754650049,0.18467586643463546,True,-94.48436063439455,-94.21197400236696,-70.50088489060548,True,True,True,True,7691053.512684296,659.8511709245014,59.83653226563712,99.09673802330077,-733.4214974853138,True,True,True,1.5558959927066667
75,I22,1,staircaseramp_2,3189339000.0,4.508497e-11,12190800.0,0.6043095664745106,-30.184630573562874,0.5801767400172919,-47.39989400032385,0.18101225171765464,True,-95.06481310794003,-94.7531881170524,-89.48035494123087,True,True,True,True,9018077.525889076,192.61931518247152,55.0299634716323,80.75546550753059,-722.9004810636981,True,True,True,1.5558959927066667
76,J04,0,staircaseramp_2,2374720000.0,1.765301e-11,11077710.0,1.0532622805620042,-52.93099334417587,0.6448038310140726,-62.84429575428129,0.07620191463874422,True,-94.50317390311305,-94.04827047490214,-86.25203080648438,True,True,True,True,7969582.026356654,271.8002526428269,66.39949412508746,124.10872893119634,-823.4791246063495,True,True,True,2.023900619510627
77,J04,1,staircaseramp_2,6477065000.0,1.769778e-11,11107250.0,0.7823707759791277,-66.88143139738325,0.8028934067316346,-65.65960896841565,0.11355123708475148,True,-94.00591752286995,-93.59755021816525,-81.90837754009442,True,True,True,True,8237789.175624414,382.8723384699257,67.05510726343756,139.589175975316,-821.225481967757,True,True,True,2.023900619510627
78,J22,0,staircaseramp_2,2674712000.0,4.278386e-11,15518650.0,0.8090926588623932,-45.27886038481362,1.157237522177983,-38.58091417706917,0.022494418787645732,True,-93.89069505174672,-93.6983881311329,-95.68173919909682,True,True,True,True,31261912.154460818,5000.0,125.34407277974495,141.2907904062646,-1151.4081022817418,True,False,True,1.690094724904938
79,J22,1,staircaseramp_2,4037786000.0,4.28759e-11,14855300.0,0.7457260088470475,-53.55161690755802,0.9694415998607641,-27.574642710881516,0.014229380470141413,True,-93.61718052661669,-93.63604505047333,-82.40315391557046,True,True,True,True,30579288.911888015,5000.0,127.76203826934393,152.94503939489812,-1202.1869155368522,True,False,True,1.690094724904938
